,row_doc,col_feature,tfidf_value
844,97,4657,1.0
848,98,1442,0.665640979191
847,98,2445,0.385886161083
846,98,3780,0.551262075917
845,98,5919,0.32268263226
875,99,1198,0.339810199222
874,99,1227,0.218259707126
873,99,1246,0.218259707126
872,99,3927,0.242191989452
871,99,4028,0.122872110443
870,99,4029,0.162166693969
869,99,4041,0.22776350613
868,99,4734,0.162726027456
867,99,5351,0.146758502559
866,99,5397,0.234066289034
865,99,5572,0.1915829941
864,99,6225,0.1744624349
863,99,6226,0.182304259379
862,99,6956,0.0982015977269
861,99,6982,0.196732742701
860,99,7041,0.218169291734
859,99,7213,0.166986083036
858,99,7214,0.166986083036
857,99,7619,0.159025079401
856,99,10516,0.100916693507
855,99,10543,0.242191989452
854,99,10708,0.148072479851
853,99,10928,0.256653237683
852,99,10985,0.12866287779
851,99,11017,0.136845012629
850,99,11058,0.12516741684
849,99,11095,0.222613757529
889,100,1003,0.134867984874
888,100,2135,0.188566265443
887,100,3200,0.212187095674
886,100,3215,0.249682236715
885,100,3859,0.229465347832
884,100,5903,0.311689527312
883,100,6409,0.347990466627
882,100,6576,0.194227365523
881,100,8092,0.237472138228
880,100,8111,0.347990466627
879,100,8400,0.259429806568
878,100,8407,0.426798731159
877,100,9950,0.277389536719
876,100,10160,0.162376561683
890,101,6569,1.0
896,102,3268,0.242529536123
895,102,3856,0.322770199011
894,102,6070,0.276038172551
893,102,7478,0.303636187206
892,102,9433,0.62469649145
891,102,9879,0.527599383455
943,103,676,0.161110104477
942,103,677,0.161110104477
941,103,1156,0.0932181684465
940,103,1168,0.161110104477
939,103,1169,0.161110104477
938,103,1193,0.161110104477
937,103,1194,0.161110104477
936,103,1691,0.161110104477
935,103,1692,0.161110104477
934,103,2819,0.087357144817
933,103,2852,0.161110104477
932,103,3165,0.161110104477
931,103,3334,0.161110104477
930,103,3335,0.161110104477
929,103,3368,0.161110104477
928,103,3369,0.161110104477
927,103,3370,0.161110104477
926,103,3761,0.098931529148
925,103,3765,0.161110104477
924,103,4342,0.161110104477
923,103,4343,0.161110104477
922,103,4937,0.0863561951328
921,103,4944,0.161110104477
920,103,5254,0.153835677494
919,103,5255,0.161110104477
918,103,5469,0.138634353643
917,103,5471,0.161110104477
916,103,6033,0.161110104477
915,103,6034,0.161110104477
914,103,6105,0.161110104477
913,103,6106,0.161110104477
912,103,6576,0.120355127198
911,103,7041,0.138576923532
910,103,7193,0.148674389411
909,103,7381,0.0631599840187
908,103,7516,0.0754436562723
907,103,7539,0.304951432358
906,103,7598,0.0960860051113
905,103,7602,0.107363838154
904,103,7832,0.109759517452
903,103,9744,0.100089411171
902,103,10516,0.0641003360649
901,103,10928,0.163021183274
900,103,10985,0.0817241768315
899,103,11017,0.086921310969
898,103,11058,0.0795039274968
897,103,11073,0.148674389411
950,104,6397,0.407045333315
949,104,6630,0.276005926148
948,104,7419,0.236122764976
947,104,8830,0.307133377551
946,104,8840,0.492964224063
945,104,8984,0.400881644095
944,104,8986,0.45202890929
965,105,1865,0.155142670159
964,105,1943,0.363867531106
963,105,2256,0.236954520308
962,105,2357,0.244234273915
961,105,2358,0.244960057189
960,105,4962,0.214160343823
959,105,5006,0.195046011237
958,105,5007,0.249586320307
957,105,5157,0.238823265666
956,105,5211,0.295451133044
955,105,6135,0.182296964471
954,105,7276,0.253852672489
953,105,7799,0.200012756556
952,105,7805,0.346064008946
951,105,7806,0.346064008946
970,106,6956,0.392293415978
969,106,7381,0.397225557373
968,106,10063,0.387347702411
967,106,10124,0.661942340938
966,106,10160,0.316404530719
982,107,3356,0.288055363189
981,107,4463,0.262699068069
980,107,6228,0.349974823969
979,107,7348,0.229344737049
978,107,7516,0.362805189565
977,107,7799,0.393007933766
976,107,7893,0.292600468563
975,107,8080,0.225132749951
974,107,8306,0.235263401653
973,107,9744,0.240662764688
972,107,10861,0.207977262604
971,107,10874,0.306638736044
987,109,2611,0.374680846853
986,109,3373,0.449903520623
985,109,4374,0.392992332741
984,109,5919,0.327853781682
983,109,7580,0.628705025728
996,110,1003,0.285643701019
995,110,2798,0.274052146478
994,110,2799,0.34209737403
993,110,3200,0.224700870906
